"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Starlight","Dynamite Entertainment","Good","None","Brown","Blond","None",120,60,25,40,15
"Starman","DC Comics","None","None","Brown","White","Human",129,65,50,19,25
"Starro","DC Comics","None","None","None","None","None",160,80,75,30,55
"Starro The Star Conqueror","DC Comics",NA,"None","Red","No Hair","Alien",170,85,100,45,100
"Starship Hulk","Marvel Comics","Bad","Cosmic Immortal Hulk,Doc Green,Ego Hulk,Hulk,Hulk,Hulk,Hulk,Hulkpool,Immortal Hulk,Indestructible Hulk,Kluh,Maestro,Merged Hulk,Mr. Fixit,Nul,Old Man Hulk,Professor Hulk,War,World Breaker Hulk","Green","Green","Human",180,90,100,70,100
"Stat","None","None","None","None","None","None",160,80,1,55,5
"Static","DC Comics","Good","None","Brown","Black","Mutant",160,80,1,35,20
"Stature","Marvel Comics","None","None","None","None","None",120,60,5,75,15
"Stealth Elf","Activision Blizzard","Good","None","White","Blue","Elf",150,75,1,100,8
"Steel","DC Comics","None","None","None","None","None",170,85,55,45,55
"Steel Serpent","Marvel Comics","Bad","None","Brown","White","Human",120,60,25,100,25
"Stefan Salvatore","Team Epic TV","Good","None","Green","Brown","None",140,70,15,70,15
"Stefano","Capcom","Bad","None","Blue","Black","Human",120,60,10,60,25
"Stegosaurus","Universal Studios","Neutral","None",NA,NA,"Animal",50,25,25,20,10
"Stella Lecarde","Konami","None","None","None","None","None",160,80,100,100,100
"Stendarr","None","None","None","None","None","None",200,100,100,100,100
"Stendeval","None","None","None","None","None","None",140,70,1,55,10
"Stephen Bartowski","Warner Brothers","Good","None","Hazel","Blond","Human",150,75,1,40,10
"Steppenwolf","DC Comics","Bad","Steppenwolf","None","None","New God",180,90,90,100,45
"Steppenwolf (Snyder Cut)","DC Comics","Bad","Steppenwolf","Brown","No Hair","New God",160,80,95,90,50
"Steve","None","Good","None","Blue","Blond","Human",130,65,5,65,5
"Steve (Creative Mode)","Microsoft","Good","Herobrine","Blue","Brown","God / Eternal",130,65,100,70,100
"Steve Trevor","DC Comics","None","None","None","None","None",125,65,1,40,7
"Steven Universe","Cartoon Network","Good","None","Black","Brown","Human",90,45,25,55,75
"Stewie","Disney","Neutral","None","Black","Black","Human",180,90,1,40,5
"Sting Eucliffe","Kodansha","Good","None","Blue","Blond","Human",100,50,100,80,30
"Stinger","Shueisha","Good","None","Black","Black","Human",120,60,30,75,15
"Stinkarms","Cartoon Network","Good","None","Orange","No Hair","Alien",120,60,50,75,60
"Stinkfly","Cartoon Network","Good","None","Green","No Hair","Alien",99,50,25,45,50
"Stitch","Disney","Good","None","Black","Blue","None",190,95,95,100,100
"Stolas","None","Neutral","None","Red","Grey","Demon",120,60,1,25,55
"Stompa","DC Comics","Bad","None","None","Strawberry Blond","New God",120,60,75,100,55
"Stone Talus (Rare)","Nintendo","Bad","None",NA,NA,"None",20,10,75,40,40
"Stonebeard King","Wildstorm","Bad","None",NA,NA,"None",61,30,25,40,30
"Storm","Marvel Comics","Good","None","Black","White","Human",140,70,1,70,15
"Storm (Knullified)","Marvel Comics","None","Life,Storm,Storm","None","None","None",120,60,30,65,30
"Storm King","None","None","None","None","None","None",90,45,100,25,20
"Storm Shadow (2021)","IDW Publishing","Neutral","None","Black","Black","Human",130,65,1,80,10
"Storm Silverhand (Forgotten Realms)","None","Good","None",NA,"Silver","Human",200,100,6,100,80
"Storm Skyress","Sega","Good","None","Yellow","Green","None",150,75,50,30,60
"Storm Terror","None","Good","None","Blue","No Hair","Dragon",120,60,35,80,45
"Stormfront","Dynamite Entertainment","Bad","None","Brown","Black","Human",120,60,25,30,20
"Stormo","Cartoon Network","Good","None",NA,"Blond","Animal",200,100,75,10,90
"Stormtrooper","George Lucas","Bad","None","None","None","Human",95,50,1,40,15
"Strange Visitor Superman","DC Comics","Good","American Alien,Justice Lord,Parallax,Rant,Superboy-Prime,Superman,Superman,Superman,Superman,Superman,Superman,Superman Red","Blue","Black","Kryptonian",200,100,100,80,100
"Stranger","Marvel Comics","Good","None","White","White","Cosmic Entity",200,100,100,70,100
"Streaky The Supercat","DC Comics","Good","None","None","None","None",100,50,80,70,75
"Striga","Konami","Bad","None","Green","Black","None",110,55,25,50,20
"Striker","None","Bad","None","Yellow","White","Demon",130,65,6,65,13
"Striker Eureka","Universal Studios","Good","None",NA,NA,"Robot",120,60,75,65,30
"Strongwings","Tui T. Sutherland","Bad","None","Black","No Hair","None",70,35,90,40,40
"Stryfe","Marvel Comics","Bad","Cable,Kid Cable","Blue","White","Mutant",150,75,50,90,60
"Stump Smash","Activision Blizzard","Good","None","Yellow","No Hair","Ent",105,55,25,25,10
"Sub-Zero","Mortal Kombat",NA,"Noob Saibot",NA,NA,"None",150,75,25,100,35
"Sub-Zero Manta","IDW Publishing","Neutral","None",NA,NA,"Kaiju",110,55,75,30,30
"Subaru","Kodansha","Bad","None",NA,"Blond","Human",105,55,35,40,20
"Sublime","Marvel Comics",NA,"None","Yellow","White","Mutant",180,90,25,45,55
"Suc'Naath","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Sugi","George Lucas","Neutral","None","Brown","Purple","None",118,60,8,65,25
"Suguru Geto","Shueisha","Bad","None","Black","Black","None",150,75,25,80,35
"Suicide Mouse","None","Bad","None","Black","No Hair","Animal",128,65,1,12,25
"Suiko Tatsunagi","Shueisha","Good","None","Blue","Cyan","Human",150,75,1,10,10
"Sukuna","Shueisha","Bad","None","Brown","Pink","None",180,90,75,100,70
"Summa-verminoth","George Lucas","Bad","None",NA,NA,"None",100,50,100,40,45
"Summoner","Marvel Comics","Neutral","None","Black","White","Mutant",140,70,30,40,20
"Sun-Eater","DC Comics","Bad","None","No eyes","No Hair","Alien",60,30,100,20,100
"Sun God","Marvel Comics","None","None","None","None","None",180,90,95,90,75
"Sun Wukong","None","Good","None",NA,NA,"God / Eternal",200,100,100,100,100
"Sundew","Tui T. Sutherland","Good","None","Brown","No Hair","None",120,60,85,70,40
"Suneo","None","Neutral","None","Black","Black","Human",190,95,50,50,50
"Sunfire","Marvel Comics","None","None","None","None","None",140,70,8,75,35
"Sung Jin-Woo","None","Good","None","Blue","Black","Human",140,70,75,100,60
"Sunny","Tui T. Sutherland","Good","None","Blue","No Hair","None",90,45,55,5,20
"Suntrooper Solazzo","Image Comics","None","None","None","None","None",110,55,25,20,35
"Super-Ego","Marvel Comics","Neutral","None",NA,NA,"None",30,15,100,100,100
"Super-Man","DC Comics","Good","None","Brown","Black","None",150,75,100,90,100
"Super-Trigon","DC Comics",NA,"None",NA,NA,"None",190,95,100,85,80
"Super Adaptoid (Power of Kubik)","Marvel Comics","Bad","None",NA,NA,"Android",200,100,100,100,100
"Super Knuckles","Sega","Good","Knuckles","Red","Pink","Animal",150,75,100,80,100
"Super Mario","Nintendo","Good","Dr. Mario,Paper Mario","Blue","Brown","Human",180,90,100,80,100
"Super Mighty","Sega","Good","None","Black","Pink","Animal",95,50,75,85,100
"Super Perry","Disney","Good","None","Brown",NA,"Animal",140,70,1,70,20
"Super Scrouge The Hedgehog (scourge)","Sega","Bad","None","Blue","Green","Animal",150,75,30,95,90
"Super Shadow","None","Neutral","None","Red","Black","Animal",200,100,100,100,100
"Super Shenron","Shueisha","None","None","None","None","None",200,100,100,100,100
"Super Silver","Sega","Good","None","Gold","White","None",129,65,75,100,80
"Super Skrull","Marvel Comics","Bad","None","None","None","Skrull",120,60,100,80,100
"Super Sonic","Sega","Good","None","Red","Gold","Animal",120,60,50,45,35
"Super Tails","Sega",NA,"None",NA,NA,"None",195,100,55,80,70
"Super Tengen Toppa Gurren Laga","Kadokawa","None","None","None","None","None",170,85,100,70,100
"Super Woman","DC Comics","Bad","None","Brown","Black","Human",130,65,80,70,60
"Superalloy Darkshine","Shueisha","Good","None","Black","No Hair","Human",120,60,75,70,40
"Superboy","DC Comics","Good","None","Blue","Black","Kryptonian",110,55,30,55,35
"Superboy-Prime","DC Comics","Bad","American Alien,Justice Lord,Parallax,Rant,Strange Visitor Superman,Superman,Superman,Superman,Superman,Superman,Superman,Superman Red","Blue","Black / Blue","Kryptonian",160,80,100,100,100
"Superboy-Prime (Death Metal)","DC Comics","Bad","Kryptothrax,Superman,Superman Who Laughs","Blue","Black","Kryptonian",160,80,100,100,100
"Superdoom","DC Comics","None","Superdoom,Superman",NA,NA,"Kryptonian",140,70,100,70,95
"Supergiant","Marvel Comics","Bad","None","Black","No Hair","None",150,75,10,40,30
"Supergirl","DC Comics","Good","None","Blue","Blond","Kryptonian",160,80,100,70,60
"Supergirl (Cosmic Adventures)","DC Comics","Good","None","None","None","Kryptonian",90,45,100,30,100
"Superior Spider-Man","Marvel Comics","Good","Doctor Octopus","None","None","None",170,85,50,60,30
"Superjudge","DC Comics","Good","None","White","Black","God / Eternal",200,100,100,70,100
"Superman","DC Comics","Good","None","Blue","Black","Kryptonian",180,90,100,85,100
"Superman (1943)","DC Comics","None","None","None","None","None",140,70,100,60,100
"Superman (2006)","DC Comics","Good","None","Blue","Black","Kryptonian",150,75,100,65,60
"Superman (Death Metal)","DC Comics","None","Kryptothrax,Superboy-Prime,Superman Who Laughs","None","None","None",180,90,100,85,100
"Superman (God Of Strength)","DC Comics","Neutral","None","Blue","Black","Kryptonian",180,90,100,90,100
"Superman (Godfall)","DC Comics","Bad","American Alien,Justice Lord,Parallax,Rant,Strange Visitor Superman,Superboy-Prime,Superman,Superman,Superman,Superman,Superman,Superman Red",NA,NA,"None",115,60,95,80,80
"Superman (Kingdom Come)","DC Comics","Good","Superman","Blue","Brown / White","Kryptonian",150,75,100,80,60
"Superman (Miracle Machine)","DC Comics","Good","American Alien,Justice Lord,Parallax,Rant,Strange Visitor Superman,Superboy-Prime,Superman,Superman,Superman,Superman,Superman,Superman Red","Blue","Black","Kryptonian",200,100,100,100,100
"Superman (Powered by Kismet)","DC Comics",NA,"Superman Blue,Superman Prime",NA,"Black","Kryptonian",200,100,100,85,100
"Superman (Red son)","DC Comics","Good","None","Blue","Black","Kryptonian",170,85,100,70,85
"Superman (Servant Of Darkness)","DC Comics",NA,"Superman",NA,NA,"None",110,55,100,70,100
"Superman (Sun-dipped)","DC Comics","Good","American Alien,Justice Lord,Parallax,Rant,Strange Visitor Superman,Superboy-Prime,Superman,Superman,Superman,Superman,Superman,Superman Red","Blue","Black","Kryptonian",180,90,100,90,100
"Superman (Sword of Superman)","DC Comics","None","None","None","None","None",200,100,100,90,100
"Superman (Theta-State)","DC Comics","None","None","None","None","None",170,85,100,100,100
"Superman (Worthy)","DC Comics","Good","None","Blue","Brown","Alien",170,85,100,90,100
"Superman Prime","DC Comics","Bad","Superman,Superman Blue","Blue","Black / Blue","Kryptonian",150,75,100,80,100
"Superman Robot","DC Comics","Neutral","None","None","None","Android",120,60,100,70,55
"Superman Who Laughs","DC Comics","Bad","Kryptothrax,Superboy-Prime,Superman","Blue","Black","Kryptonian",180,90,100,75,100
"Superwoman","DC Comics","Bad","None","Blue","Black","Amazon",120,60,90,50,75
"Supreme","Image Comics","None","None","None","None","None",200,100,100,100,100
"Supreme Leader Snoke","George Lucas","Bad","None","Blue","No Hair","Clone",170,85,30,60,15
"Supreme Mordo (Earth 838)","Marvel Comics","Neutral","None",NA,NA,"Human",149,75,25,75,30
"Surge","Marvel Comics","Good","None","Brown","Blue","Human",120,60,1,50,15
"Surtr","Type-Moon","None","None","None","None","None",190,95,100,100,100
"Surtur","Marvel Comics","Bad","Surtur","White","No Hair","None",150,75,100,90,55
"Surtur (What If..?)","Marvel Comics","Neutral","Surtur","Yellow (without irises)","No Hair","Demi-God",75,40,100,30,45
"Susanoomon","Shueisha","Good","None",NA,NA,"None",170,85,100,100,100
"Suzaku","Kodansha","None","None","None","None","None",160,80,90,100,80
"Suzaku (Fushigi Y?gi)","Shogakukan","Good","None","Red","Red","God / Eternal",200,100,100,100,100
"Suzie Haltman","Nintendo","Good","None","Teal","Pink","Android",185,95,8,30,40
"Swain","Riot Games","Bad","None","Red","White","Human",170,85,25,85,25
"Swamp Beast","IDW Publishing","Good","None","Yellow",NA,"Kaiju",105,55,75,35,30
"Swamp Locust","None","Neutral","None",NA,NA,"Animal",50,25,25,15,15
"Swamp Thing","DC Comics","Neutral","Swamp Thing","Red","No Hair","God / Eternal",180,90,100,30,100
"Swamp Thing (World Tree)","DC Comics","Good","Swamp Thing","Red","No Hair","God / Eternal",200,100,100,100,100
"Swampfire","Cartoon Network","Good","None","Green","No Hair","Alien",125,65,75,90,100
"Swarm","Marvel Comics","Bad","None","Yellow","No Hair","Mutant",160,80,8,40,15
"Sway","Marvel Comics","Good","None","Brown","Black","Mutant",100,50,1,45,30
"Sweet Mask","Shueisha","Good","None","Green","Blue","Human",120,60,55,95,30
"Sweet Tooth","Sony Pictures","Bad","None",NA,NA,"Human",100,50,1,100,20
"Swift","Cartoon Network","Bad","None","Red","Red","Human",140,70,25,70,75
"Swordsman","Marvel Comics","Neutral","None","Blue","Black","Human",120,60,5,80,10
"Swordtail","Tui T. Sutherland","Good","None",NA,NA,"None",90,45,90,10,40
"Syaoran Li","Kodansha","Good","None","Amber","Brown","Human",110,55,1,75,10
"Sybil","None","None","None","None","None","None",200,100,100,100,100
"Sydney Bristow","ABC Studios","Good","None","Brown","Brown","Human",120,60,1,80,10
"Sylas","Riot Games","Bad","None","Blue","Black","Human",140,70,25,55,20
"Sylene Lokisdottir","Marvel Comics","Bad","None","Green","Black","Asgardian",169,85,80,65,95
"Sylva","None","Good","None","Green","Green","None",140,70,85,85,55
"Sylvio Sawatari","Shueisha","Good","None","Grey","Brown","Human",120,60,1,60,5
"Symbiote Supreme","Marvel Comics","None","None","None","None","None",160,80,45,80,90
"Symmetra","Activision Blizzard","Neutral","None","Blue","Black","Human",163,80,1,10,15
"Synaptak","Cartoon Network","Good","None",NA,NA,"Alien",150,75,50,30,30
"Syndra","Riot Games","Neutral","None","Purple","White","Human",130,65,75,65,30
"Synnar","DC Comics","None","None","None","None","None",200,100,100,100,100
"Synnar (Demiurge Power)","DC Comics","Bad","None",NA,NA,"None",200,100,100,100,100
"Sypha Belnades","Konami","Good","None","Blue","Orange / White","None",140,70,1,50,10
"System XX","None","None","None","None","None","None",200,100,100,100,100
"Syththunu","DC Comics","None","None","None","None","None",200,100,100,100,100
"T'ith","H.P. Lovecraft","None","None","None","None","None",150,75,90,35,80
"T-1000","Dark Horse Comics","Bad","None",NA,NA,"Android",145,75,25,60,60
"T-1000000","Dark Horse Comics","Bad","None",NA,NA,"Robot",200,100,30,100,30
"T-3000","Dark Horse Comics","Bad","John Connor","None","None","Cyborg",150,75,25,60,17
"T-700","Dark Horse Comics",NA,"None","Red",NA,"Android",80,40,25,10,15
"T-800","Dark Horse Comics","Bad","None","Red",NA,"Android",130,65,25,60,15
"T-Infinity","Dark Horse Comics","Bad","None","Blue","No Hair","Robot",200,100,75,60,50
"T-Rider Rex","Marvel Comics","Good","None","No eyes","No Hair","Animal",188,95,100,100,90
"T.D.K.","DC Comics","Bad","None",NA,NA,"Human",100,50,1,40,10
"T.K.O (K.O)","Cartoon Network","Neutral","K.O,Perfect K.O","Purple","Brown","Human",90,45,100,80,80
"Taarna","None","None","None","Green","Grey","Human",120,60,30,95,30
"Tabuu","Nintendo","Bad","None","None","None","Energy",200,100,100,100,100
"Tachyon","None","Good","None","Blue","Strawberry Blond","Human",170,85,1,30,20
"Tacit Ronin","Universal Studios","Good","None",NA,NA,"Robot",130,65,85,65,35
"Tadanori Sanbe","Kodansha","Neutral","None",NA,NA,"Human",100,50,30,60,18
"Tadayoshi Kisaragi","Kadokawa","Good","None","Brown","Black","Human",150,75,8,85,20
"Tadpole (EDF5)","None","Bad","Primer Infantry","Black","No Hair","Alien",60,30,30,15,15
"Tagoma","Shueisha","Bad","None","Black","No Hair","None",140,70,100,100,80
"Tahm Kench","Riot Games","Bad","None","Yellow","No Hair","Demon",170,85,50,55,50
"Tahngarth","Hasbro","Good","None",NA,NA,"Mutant",100,50,35,90,25
"Tahomaru","Shogakukan","Neutral","None","Black","Black","Human",130,65,5,85,15
"Tai Lung","Dreamworks","Bad","None","Gold","Grey","Animal",140,70,25,100,20
"Tails","Sega","Good","Turbo Tails","Blue","Yellow","Animal",180,90,30,70,65
"Tails (Pre-Wave)","None","None","None","None","None","None",200,100,100,100,100
"Tails Doll","None","None","None","None","None","None",160,80,50,75,55
"Taishi Miwa","Shueisha","Good","None","Blue","Blond","Human",140,70,1,60,40
"Taiyou Asukawa","Shueisha","Good","None","Red","Auburn","Human",150,75,1,10,50
"Takako Uro","Shueisha","Good","None","Pink","Pink","Human",110,55,25,65,30
"Takamagahara System","None","None","None","None","None","None",200,100,100,100,100
"Takanuva","Lego","Good","None",NA,NA,"None",120,60,70,80,45
"Takashi Komuro","Kodansha","Good","None","Brown","Black","Human",115,60,1,25,5
"Takashi Mitsuya","Kodansha",NA,"None",NA,NA,"None",125,65,1,65,8
"Takato","Shueisha","Good","None","Brown","Brown","Human",95,50,1,20,10
"Takeda","Mortal Kombat","Good","None","Brown","Black","Human",110,55,10,95,10
"Takehiko Morningstar","DC Comics","None","None","None","None","None",180,90,100,60,100
"Takemichi Hanagaki","Kodansha","Good","None","Blue","Blond","Human",110,55,1,15,8
"Takion","DC Comics","Good","None","Red","No Hair","New God",200,100,100,80,100
"Takkar","Ubisoft","Good","None","Blue","Brown / Black","None",100,50,10,50,15
"Takuto Maruki","None","None","None","None","None","None",200,100,100,85,100
"Takuto Tatsunagi","Shueisha","Neutral","None","Gold","White","Human",200,100,1,90,50
"Talia Al Ghul","None","Bad","None","Brown","Brown","Human",110,55,25,70,10
